Tool Count,Exception Rate,Tool Execution Rate,Correct Tool Rate,Average Latency (s)
5,0.0,1.0,1.0,0.8859217643737793
10,0.0,1.0,1.0,0.9373081207275391
15,0.0,1.0,1.0,1.3311395645141602
20,0.0,1.0,1.0,1.1187313079833985
25,0.0,0.8,0.8,0.9515480041503906
30,0.0,1.0,1.0,1.148692798614502
35,0.0,1.0,1.0,1.2729218006134033
40,0.0,1.0,1.0,1.1856103420257569
45,0.0,1.0,1.0,1.2770220756530761
50,0.0,1.0,1.0,1.306657648086548
55,0.0,1.0,1.0,1.303431510925293
60,0.0,1.0,1.0,1.345799207687378
65,0.0,1.0,1.0,1.4180481433868408
70,0.0,1.0,1.0,1.4600822448730468
75,0.0,1.0,1.0,1.4973434448242187
80,0.0,1.0,1.0,1.533660650253296
85,0.0,1.0,1.0,1.5752890586853028
90,0.0,1.0,1.0,1.6169228553771973
95,0.0,1.0,1.0,1.921990966796875
