Tool Count,Exception Rate,Tool Execution Rate,Correct Tool Rate,Average Latency (s)
5,0.0,1.0,1.0,7.448719310760498
6,0.0,1.0,1.0,5.746220254898072
7,0.0,1.0,1.0,5.525717782974243
8,0.0,1.0,1.0,5.3459795951843265
9,0.0,1.0,1.0,5.266814756393432
10,0.0,1.0,1.0,5.5632329940795895
11,0.0,1.0,1.0,5.740756893157959
12,0.0,1.0,1.0,6.136696910858154
13,0.0,1.0,1.0,6.083827877044678
14,0.0,1.0,1.0,6.205667018890381
15,0.0,1.0,1.0,6.2851334571838375
16,0.0,1.0,1.0,6.025374031066894
17,0.0,1.0,1.0,7.808572244644165
18,0.0,1.0,1.0,6.767561292648315
19,0.0,1.0,1.0,6.812003040313721
20,0.0,1.0,1.0,6.743418121337891
21,0.0,1.0,1.0,13.473783349990844
22,0.0,0.0,0.0,11.885726737976075
