Tool Count,Exception Rate,Tool Execution Rate,Correct Tool Rate,Average Latency (s)
5,0.0,1.0,1.0,1.727515697479248
10,0.0,1.0,1.0,2.5942430973052977
15,0.0,1.0,1.0,2.812750768661499
20,0.0,1.0,1.0,2.5240612983703614
25,0.0,0.0,0.0,10.928335428237915
30,0.0,0.0,0.0,8.745936059951783
35,0.0,0.0,0.0,6.4150176525115965
40,0.0,0.0,0.0,41.67686438560486
45,0.0,0.0,0.0,7.9896259784698485
50,0.0,0.0,0.0,7.305920600891113
55,0.0,0.0,0.0,8.016234588623046
60,0.0,0.0,0.0,8.05299072265625
65,0.0,0.0,0.0,7.3778058052062985
70,0.0,0.0,0.0,8.207083034515382
75,0.0,0.0,0.0,21.530145359039306
80,0.0,0.0,0.0,7.630469179153442
85,0.0,0.0,0.0,8.33967137336731
90,0.0,0.0,0.0,8.604176807403565
95,0.0,0.0,0.0,6.982941341400147
